položaj,ime,celina,država,ocena,višinska_razlika,proge,modre,rdeče,črne,žičnice
1,Les 3 Vallées – Val Thorens/Les Menuires/Méribel/Courchevel,Europe,France,4.6,2130.0,600.0,312.0,216.0,72.0,157
2,Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry,Europe,Switzerland,4.3,1269.0,580.0,310.0,210.0,60.0,165
3,4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Europe,Switzerland,4.3,1980.0,412.0,107.0,202.0,103.0,68
4,Via Lattea – Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre,Europe,Italy,4.2,1251.0,400.0,96.0,220.0,84.0,70
5,Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn,Europe,Switzerland,4.5,2337.0,322.0,75.0,220.0,27.0,51
6,Les Sybelles – Le Corbier/La Toussuire/Les Bottières/St Colomban des Villards/St Sorlin/St Jean d’Arves,Europe,France,4.0,1520.0,310.0,71.3,217.0,21.7,68
7,St. Anton/St. Christoph/Stuben/Lech/Zürs/Warth/Schröcken – Ski Arlberg,Europe,Austria,4.8,1507.0,301.6,130.0,121.6,50.0,85
8,Tignes/Val d'Isère,Europe,France,4.6,1906.0,300.0,170.0,78.0,52.0,85
9,SkiWelt Wilder Kaiser-Brixental,Europe,Austria,4.8,1249.0,275.0,115.0,121.0,39.0,81
10,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Europe,Austria,4.7,1266.0,270.0,140.0,112.0,18.0,70
11,Le Grand Massif – Flaine/Les Carroz/Morillon/Samoëns/Sixt,Europe,France,4.1,1783.0,265.0,135.0,95.0,35.0,62
12,Megève/Saint-Gervais,Europe,France,4.1,1503.0,263.0,98.0,134.0,31.0,81
13,Park City,North America,USA,4.4,975.0,250.0,20.0,105.0,125.0,42
13,Serre Chevalier – Briançon/Chantemerle/Villeneuve-la-Salle/Le Monêtier-les-Bains,Europe,France,4.4,1600.0,250.0,137.5,80.0,32.5,59
13,Alpe d'Huez,Europe,France,4.2,2205.0,250.0,70.0,130.0,50.0,69
13,Big Sky Resort,North America,USA,3.9,1326.0,250.0,55.0,69.0,126.0,39
17,Ischgl/Samnaun – Silvretta Arena,Europe,Austria,4.8,1512.0,239.0,47.0,140.0,52.0,46
18,Snowmass,North America,USA,4.4,1340.0,237.0,12.0,114.0,111.0,20
19,Vail,North America,USA,4.6,1070.0,234.0,57.0,84.0,93.0,34
20,Arosa Lenzerheide,Europe,Switzerland,4.7,1636.0,225.0,110.0,87.0,28.0,43
20,La Plagne (Paradiski),Europe,France,4.4,1960.0,225.0,139.0,59.0,27.0,74
22,Grandvalira – Pas de la Casa/Grau Roig/Soldeu/El Tarter/Canillo/Encamp,Europe,Andorra,4.4,930.0,215.0,100.0,82.0,33.0,74
23,Laax/Flims/Falera,Europe,Switzerland,4.5,1918.0,214.0,87.0,76.0,51.0,30
24,Whistler Blackcomb,North America,Canada,4.7,1609.0,200.0,40.0,110.0,50.0,27
24,Palisades Tahoe,North America,USA,4.3,855.0,200.0,50.0,85.0,65.0,43
24,Les 2 Alpes,Europe,France,4.3,2243.0,200.0,110.0,56.0,34.0,44
24,Les Arcs/Peisey-Vallandry (Paradiski),Europe,France,4.1,2026.0,200.0,104.0,70.0,26.0,53
28,Espace Diamant – Les Saisies/Notre-Dame-de-Bellecombe/Praz sur Arly/Flumet/Crest-Voland,Europe,France,4.1,1069.0,192.0,132.0,49.0,11.0,82
29,KitzSki – Kitzbühel/Kirchberg,Europe,Austria,4.9,1200.0,188.0,102.0,66.0,20.0,58
30,Serfaus-Fiss-Ladis,Europe,Austria,4.8,1628.0,186.0,47.0,112.0,27.0,38
31,Vars/Risoul – La Forêt Blanche,Europe,France,3.9,1100.0,185.0,75.0,90.0,20.0,34
32,Val Gardena (Gröden),Europe,Italy,4.7,1282.0,181.0,52.0,108.0,21.0,79
33,Espace Lumière – Pra Loup/Val d’Allos,Europe,France,3.8,968.0,180.0,56.0,93.5,30.5,36
34,Baqueira/Beret,Europe,Spain,4.2,1110.0,165.0,77.0,68.0,20.0,36
34,Steamboat,North America,USA,4.0,1118.0,165.0,25.0,95.0,45.0,20
34,Le Grand Domaine – Valmorel/Doucy/Celliers/St François Longchamp,Europe,France,3.9,1153.0,165.0,115.0,35.0,15.0,47
